,start,end,x,y,bezit
1354,3049.9529936534004,3058.564917073,1,1, TEG
1356,3055.564917073,3064.8846415415996,1,3, TEG
1357,3061.8846415415996,3069.2728734463,2,3, TEG
1358,3066.9609087492,3071.5848389434004,3,3, TEG
1359,3069.2728742463,3077.3127287169,2,3, TEG
1362,3074.3127287169,3078.9610874831,2,4, TEG
1367,3078.2409754132,3085.3928791649,2,2,NEC
1370,3083.1688047995003,3091.34904349,2,2, TEG
1373,3088.34904349,3093.1650328990004,1,2, TEG
1375,3090.1650328990004,3100.3966605819,1,3, TEG
1377,3097.3966605819,3104.1291017391,2,4, TEG
1378,3101.1291017391,3110.2329072807,2,3, TEG
1379,3107.2329072807,3114.7370570153003,2,4, TEG
1385,3113.1049150406,3119.8889402528002,1,2,NEC
1388,3117.5291800644,3123.6650466164,3,4, TEG
1394,3142.4162339731,3150.0239558742,3,4, TEG
1396,3147.0239558742,3157.5768711481,2,4, TEG
1397,3154.5768711481,3171.6722418481,2,3, TEG
1398,3168.6722418481,3178.329089173,3,3, TEG
1399,3175.329089173,3181.3770043532,2,2, TEG
1400,3178.3770043532,3191.4610544364,1,3, TEG
1401,3188.4610544364,3195.1610178022997,2,3, TEG
1404,3192.1610178022997,3203.2166593914003,1,3, TEG
1410,3202.1932963372997,3209.0251521012,2,1,NEC
1413,3206.0251521012,3217.7051590134997,3,2,NEC
1416,3214.7051590134997,3219.3530873225,2,2,NEC
1417,3216.3530873225,3226.3932144003,1,2,NEC
1421,3223.3932144003,3230.7689951546995,3,2,NEC
1423,3227.7689951546995,3237.625147264,3,3,NEC
1427,3235.8090673695,3239.5930276028002,2,2, TEG
1428,3236.5930276028002,3246.5367342276,2,3, TEG
1435,3245.5053298834996,3255.4330317571003,3,2,NEC
1439,3253.4250553334996,3257.8329552125,1,3, TEG
1442,3254.8329552125,3266.3847494851,2,3, TEG
1448,3264.9047174482002,3277.4487635889,3,2,NEC
1455,3317.6796457605,3325.8314389409,1,4, TEG
1457,3322.8314389409,3331.4569105468,2,4, TEG
1460,3333.9771177459997,3359.0721799182,2,1,NEC
1465,3356.0721799182,3360.5853160205997,2,3,NEC
1469,3359.0972028921,3365.8971431141,2,2, TEG
1470,3362.8971431141,3366.7930669961997,1,2, TEG
1471,3363.7930669961997,3371.1208992037,1,3, TEG
1474,3375.6890828222,3379.2570964147,1,3, TEG
1476,3376.2570964147,3382.9449509966,2,3, TEG
1480,3380.4728539965004,3392.8408207179,1,2,NEC
1488,3389.8408207179,3398.1729344273,1,4,NEC
1494,3415.4767940699,3424.1487104648,3,1, TEG
1495,3421.1487104648,3425.5211138401,2,3, TEG
1496,3422.5211138401,3429.2009593909,3,3, TEG
1497,3426.2009593909,3431.0168529110997,2,2, TEG
1498,3428.0168529110997,3441.1764622174,2,1, TEG
1506,3440.0010454221,3445.2170579190997,3,3,NEC
1508,3442.2170579190997,3446.6409016615003,2,3,NEC
1512,3445.5849743321996,3449.0408168179997,2,2, TEG
1513,3446.0408168179997,3451.9687433605,1,2, TEG
1514,3448.9687433605,3456.4493168047998,1,3, TEG
1515,3453.4493168047998,3459.4492828922,2,3, TEG
1517,3456.4492828922,3461.5130934667,2,4, TEG
1524,3463.3049796974,3467.6329325739002,2,1,NEC
1528,3464.6329325739002,3473.9532824353996,1,2,NEC
1531,3470.9532824353996,3479.6969616840997,2,2,NEC
1533,3476.6969616840997,3485.6252375154,3,2,NEC
